pool_id,foundation_spp,day_night,sampling_group,before_after,removal_control,group,time_point,sampling_day,sampling_time,do_mg_l,salinity,temp_pool,nn_umol_l,nh4_umol_l,heterotrophic_bacterioplankton_m_l,m_c,bix,hix,fi,ultra_violet_humic_like,marine_humic_like,visible_humic_like,tryptophan_like,tyrosine_like,phenylalanine_like
31,Mytilus,Day,2,After,Control,After_Control,start,8/6/2019,8:45:00,8.1,35.3,11.6,12.87376,13.526628,382.67,1.078750833,0.940512379,0.957053908,1.713763655,0.038202965,0.04392609,0.040719403,0.100390935,0.110054328,0.032130311
32,Mytilus,Day,2,After,Removal,After_Removal,start,8/6/2019,8:44:00,10.76,35.3,11,8.70872,3.0712098,506.38,1.222163765,0.960639681,0.918024557,1.602412844,0.0310392,0.037445608,0.030638781,0.08402496,0.046898186,0.022355527
Ocean,Ocean,Day,1,After,Ocean,After_Ocean,end,8/5/2019,10:56:00,11.07,34.7,11.3,7.799984,2.5057524,475.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Phyllospadix,Day,1,After,Control,After_Control,end,8/5/2019,11:01:00,12.15,35.3,12.4,12.87376,2.5611894,866.44,1.150214391,1.537078887,1.338117745,1.696504714,0.063185061,0.091030488,0.079142191,0.136332256,0.080655626,0.025194252
2,Phyllospadix,Day,1,After,Removal,After_Removal,end,8/5/2019,11:03:00,20.62,34.9,13.5,5.5054256,5.3108646,562.31,0.996928857,0.921358882,0.945956873,1.680109464,0.090564021,0.113489489,0.113839105,0.261625403,0.162461432,0.049177928
3,Phyllospadix,Day,1,After,Removal,After_Removal,end,8/5/2019,11:05:00,21.25,34.8,13.6,2.9836832,2.8161996,572.52,1.024503051,0.84217184,0.392654508,1.500947745,0.043954025,0.046891408,0.045769906,0.16643298,0.255132347,0.036654436
4,Phyllospadix,Day,1,After,Control,After_Control,end,8/5/2019,11:06:00,13.92,34.9,14.3,1.70388,4.7010576,563.95,1.430095797,1.182260976,0.655345111,1.657017264,0.068588115,0.096009186,0.067134793,0.436967306,0.167580039,0.052972195
5,Phyllospadix,Day,1,After,Control,After_Control,end,8/5/2019,11:08:00,20.85,35.9,14,0.7799984,4.7786694,885.69,1.06903011,1.015681458,0.994282733,1.66967861,0.064218881,0.074848315,0.070015161,0.219847814,0.114758431,0.041503924
6,Phyllospadix,Day,1,After,Removal,After_Removal,end,8/5/2019,11:10:00,24.25,34.9,16.2,2.7678584,5.100204,485.8,0.941817657,0.788313219,1.075338196,1.587847157,0.082593719,0.084772379,0.090009333,0.226772949,0.192838297,0.044633783
7,Phyllospadix,Day,1,After,Removal,After_Removal,end,8/5/2019,11:17:00,14.73,35,13.6,2.499024,5.876322,640.16,1.219657635,1.133567078,0.874723756,1.46542817,0.056443067,0.069916767,0.057324912,0.269973263,0.084587949,0.039824424
8,Phyllospadix,Day,1,After,Control,After_Control,end,8/5/2019,11:19:00,9.32,34.8,14.2,2.8738776,5.599137,1333.27,1.33109677,0.898170283,1.587027668,1.740918099,0.082100728,0.111381621,0.083676577,0.167189177,0.166464429,0.047594685
9,Mytilus,Day,1,After,Control,After_Control,end,8/5/2019,11:24:00,11.35,35.2,12.9,7.0275584,16.187604,896.79,0.962899385,0.981227549,0.381760736,1.169883562,0.065515945,0.071773344,0.074538778,0.830830433,0.443066383,0.126612826
10,Mytilus,Day,1,After,Removal,After_Removal,end,8/5/2019,11:26:00,16.82,34.8,13.4,12.87376,13.748376,510.25,1.036514996,0.856969033,0.410859879,1.377487353,0.069773706,0.075413186,0.072756483,0.589453055,0.392969886,0.088636402
11,Mytilus,Day,1,After,Removal,After_Removal,end,8/5/2019,11:28:00,18.14,34.8,13.4,7.269888,5.8319724,497.03,1.008582393,0.884678034,0.676248312,1.647746902,0.035983905,0.03862588,0.038297198,0.108309839,0.148138639,0.030877377
12,Mytilus,Day,1,After,Control,After_Control,end,8/5/2019,11:35:00,14.64,34.7,14.9,6.2248416,11.309148,485.36,0.889992554,0.823062093,0.538391093,1.379872401,0.095034122,0.102353644,0.115005057,0.504656671,0.329476435,0.092916204
13,Mytilus,Day,1,After,Control,After_Control,end,8/5/2019,11:37:00,12.16,34.7,15.1,8.935904,17.296344,456.26,0.99797447,0.86648885,0.845332107,1.80583141,0.055217597,0.061454725,0.061579457,0.171946059,0.20371509,0.025005299
14,Mytilus,Day,1,After,Control,After_Control,end,8/5/2019,11:38:00,6.97,34.9,13.8,9.08736,17.18547,919.97,0.872773051,0.867849614,1.182497185,2.04208731,0.063920939,0.068020346,0.077935892,0.203417375,0.182589091,0.034462878
