pool_id,foundation_spp,day_night,sampling_group,before_after,removal_control,group,time_point,sampling_day,sampling_time,do_mg_l,salinity,temp_pool,nn_umol_l,nh4_umol_l,heterotrophic_bacterioplankton_m_l,m_c,bix,hix,fi,ultra_violet_humic_like,marine_humic_like,visible_humic_like,tryptophan_like,tyrosine_like,phenylalanine_like
26,Phyllospadix,Day,2,Before,Removal,Before_Removal,end,7/9/2019,14:32:00,9.81,34.2,14.1,1.6963072,4.3906104,1341.97,1.03063337,0.560968134,2.175122113,2.235070757,0.21330506,0.206355586,0.200222108,0.21567351,0.13787607,0.059127197
28,Phyllospadix,Day,2,Before,Removal,Before_Removal,start,7/9/2019,10:23:00,10.82,34.7,13.5,0.69821216,3.5812302,1047.71,1.096943931,0.926921361,1.608776755,1.699188102,0.037655224,0.042326136,0.038585505,0.064454649,0.043275128,0.010682505
29,Phyllospadix,Day,2,Before,Control,Before_Control,start,7/9/2019,10:25:00,12.35,34.6,13.9,0.397572,6.597003,1010.82,0.979434769,0.897062767,1.330905351,1.677219346,0.047685588,0.050986928,0.052057502,0.089531129,0.111441071,0.031760796
30,Mytilus,Day,2,Before,Control,Before_Control,start,7/9/2019,10:28:00,9.01,34.6,13.5,3.104848,9.535164,537.79,1.051095079,0.96919959,1.174251224,1.749348596,0.044275104,0.050392122,0.047942496,0.113914827,0.107045003,0.021006638
31,Mytilus,Day,2,Before,Control,Before_Control,start,7/9/2019,10:32:00,7.6,34.5,13.8,3.8091184,11.309148,480.25,1.124258073,1.025524628,1.041917554,1.723111808,0.038143561,0.046584999,0.041436215,0.096072613,0.099617902,0.0188348
32,Mytilus,Day,2,Before,Removal,Before_Removal,start,7/9/2019,10:35:00,6.98,34.8,13.2,4.202904,12.972258,541.08,1.131546861,0.889190858,0.952086319,1.70196642,0.036243658,0.042144095,0.037244675,0.092861246,0.129410122,0.036452836
Ocean,Ocean,Day,1,Before,Ocean,Before_Ocean,end,7/8/2019,13:31:00,8.41,34.5,13.3,1.1132016,1.9735572,677.13,0.960126619,0.850849999,1.490476291,1.771296117,0.024889881,0.026973718,0.028093917,0.030328043,0.040169804,0.001216182
1,Phyllospadix,Day,1,Before,Control,Before_Control,end,7/8/2019,13:39:00,11.89,35.2,16.1,2.1052384,4.9671552,698.19,1.082278196,0.877355505,1.029458593,1.651344912,0.072955471,0.083613644,0.077257071,0.148004219,0.235256276,0.044804681
2,Phyllospadix,Day,1,Before,Removal,Before_Removal,end,7/8/2019,13:41:00,14.83,34.8,19,0.55811536,5.9095842,725.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Phyllospadix,Day,1,Before,Removal,Before_Removal,end,7/8/2019,13:43:00,14.24,35.2,17.3,0.32714496,8.0494524,835.87,1.050189148,0.972059316,0.742954215,1.632033887,0.067385786,0.077428039,0.073727708,0.166679675,0.424239246,0.048292818
4,Phyllospadix,Day,1,Before,Control,Before_Control,end,7/8/2019,13:49:00,9.92,36.6,19.3,0.870872,8.3598996,523.03,0.98811943,0.816416926,0.838896731,1.608170696,0.111330392,0.121103317,0.122559392,0.251403742,0.630012226,0.087151231
5,Phyllospadix,Day,1,Before,Control,Before_Control,end,7/8/2019,13:54:00,7.77,35.8,22.4,1.4312592,5.7543606,803.51,1.053552102,0.872266795,1.849878576,1.733440667,0.162290796,0.185403032,0.175978988,0.260183893,0.231471157,0.03492679
6,Phyllospadix,Day,1,Before,Removal,Before_Removal,end,7/8/2019,14:00:00,9.88,34.6,18.1,5.831056,10.7326032,491.28,1.081459533,0.890123173,1.673740065,1.681681263,0.208142535,0.2390671,0.221059681,0.368794644,0.311174382,0.054869245
7,Phyllospadix,Day,1,Before,Removal,Before_Removal,end,7/8/2019,14:02:00,10.8,34.6,16.1,1.1056288,7.3287714,926.39,1.157853473,0.959935559,0.531095072,1.48108546,0.08855053,0.107160863,0.092551316,0.418392095,0.530559691,0.078466132
8,Phyllospadix,Day,1,Before,Control,Before_Control,end,7/8/2019,14:05:00,9.54,36.3,21.6,2.2756264,16.797411,873.43,1.103842683,0.783139428,2.258969026,1.604712412,0.140401457,0.156055476,0.141374744,0.203037141,0.123156192,0.025830621
9,Mytilus,Day,1,Before,Control,Before_Control,end,7/8/2019,14:21:00,7.77,36.6,18.9,9.84464,21.398682,454.8,0.917742769,0.834161238,1.544192373,1.76254814,0.095050413,0.098870836,0.107732624,0.180949934,0.158182889,0.038302541
10,Mytilus,Day,1,Before,Removal,Before_Removal,end,7/8/2019,14:23:00,7.93,35.7,18,19.537824,23.394414,445.41,1.136159021,0.997224052,0.566215492,1.406785968,0.131848707,0.150202957,0.132202406,0.92081686,0.502081927,0.151290386
11,Mytilus,Day,1,Before,Removal,Before_Removal,end,7/8/2019,14:26:00,4.85,36.1,19.5,12.267936,23.505288,326.17,1.018876603,0.896388896,1.864363945,1.657080001,0.066436798,0.073561109,0.072198251,0.126371102,0.088399845,0.009825575
12,Mytilus,Day,1,Before,Control,Before_Control,end,7/8/2019,14:19:00,13.34,34.6,24.2,8.481536,20.844312,516.91,0.952635877,1.56067174,1.594197717,1.899548496,0.221935717,0.282582444,0.296632166,0.767228541,0.951869773,0.209415936
13,Mytilus,Day,1,Before,Control,Before_Control,end,7/8/2019,14:15:00,5.87,36.6,20.4,11.586384,46.788828,294.99,1.086283194,1.266586163,0.793972723,1.653160299,0.256432572,0.320299946,0.294858604,1.617145153,1.260467882,0.320070667
14,Mytilus,Day,1,Before,Control,Before_Control,end,7/8/2019,14:11:00,7.8,33.1,22.1,10.60192,32.818704,431.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
