PoolID,Foundation_spp,Removal_Control,Before_After,Perimeter,MaxDepth,TideHeight,Squares,SurfaceArea,Vol_m3,SAtoV,Vol
1,Phyllospadix,Control,Before,9.498,0.28,0.927449,361,3.61,0.291468955,12.38553861,291.4689554
2,Phyllospadix,Removal,Before,6.88,0.28,0.940149,198.5,1.985,0.20528925,9.669283708,205.28925
3,Phyllospadix,Removal,Before,10.484,0.28,0.930624,531,5.31,0.649514563,8.175336323,649.5145631
4,Phyllospadix,Control,Before,6.69,0.185,0.940149,122.9,1.229,0.099479109,12.35435276,99.47910859
5,Phyllospadix,Control,Before,5.836,0.15,0.781399,153.3,1.533,0.089376551,17.15214985,89.37655125
6,Phyllospadix,Removal,Before,3.48,0.13,0.905224,68.3,0.683,0.027431631,24.89826449,27.43163083
7,Phyllospadix,Removal,Before,8.18,0.335,0.705199,299,2.99,0.257424427,11.61505934,257.4244274
8,Phyllospadix,Control,Before,5.5,0.165,0.778224,88.6,0.886,0.063797987,13.88758552,63.79798697
9,Mytilus,Control,Before,10.316,0.34,1.114313001,645.3,6.453,0.751685393,8.58470852,751.6853933
10,Mytilus,Removal,Before,5.94,0.215,1.107963001,204.2,2.042,0.227626569,8.970833281,227.6265689
11,Mytilus,Removal,Before,3.79,0.3,1.673113001,106.2,1.062,0.117053419,9.072780656,117.0534195
12,Mytilus,Control,Before,7.63,0.225,1.333388001,255.2,2.552,0.231796657,11.00964974,231.7966566
13,Mytilus,Control,Before,9.18,0.225,1.177813001,416,4.16,0.277221869,15.00603112,277.2218695
14,Mytilus,Control,Before,3.9,0.17,0.904763001,58.3,0.583,0.043557393,13.38463944,43.55739299
15,Mytilus,Removal,Before,4.17,0.175,0.879363001,107,1.07,0.072106249,14.83921315,72.10624911
16,Mytilus,Removal,Before,15.57,0.295,1.771538001,688,6.88,0.669,10.28400598,669
17,Mytilus,Removal,Before,4.26,0.23,1.086199,110.7,1.107,0.081507918,13.58150268,81.50791752
18,Phyllospadix,Control,Before,12.94,0.405,1.615963001,503.8,5.038,0.361621622,13.93168909,361.6216216
19,Mytilus,Control,Before,11.15,0.41,1.070324,543.95,5.4395,0.649514563,8.374715994,649.5145631
20,Phyllospadix,Control,Before,11.66,0.41,1.006824,464.65,4.6465,0.355851064,13.057429,355.8510638
21,Phyllospadix,Removal,Before,7.202,0.135,1.108424,217.95,2.1795,0.054515247,39.97964126,54.51524655
22,Phyllospadix,Removal,Before,10.37,0.14,1.140174,403.2,4.032,0.098351335,40.9958846,98.35133548
23,Mytilus,Removal,Before,7.04,0.165,1.044463001,159,1.59,0.065628848,24.22715072,65.62884832
24,Mytilus,Removal,Before,3.6,0.18,1.412763001,98,0.98,0.065976131,14.85385686,65.97613058
25,Mytilus,Control,Before,3.85,0.28,1.029049,114.3,1.143,0.097645004,11.70566802,97.64500398
26,Phyllospadix,Removal,Before,5.214,0.145,0.819038001,120.3,1.203,0.065142684,18.46715443,65.1426837
27,Phyllospadix,Control,Before,4.912,0.26,0.841263001,116.4,1.164,0.163571381,7.116159254,163.5713815
28,Phyllospadix,Removal,Before,7.05,0.175,0.765063001,233.7,2.337,0.183407352,12.74212823,183.4073521
29,Phyllospadix,Control,Before,3.32,0.16,0.838342001,75,0.75,0.045667184,16.4231716,45.66718405
30,Mytilus,Control,Before,5.19,0.135,1.209563001,158.5,1.585,0.164284686,9.647886498,164.2846856
31,Mytilus,Control,Before,8.794,0.21,1.146063001,332.9,3.329,0.175943755,18.92081931,175.9437551
32,Mytilus,Removal,Before,8.546,0.31,1.120663001,320.3,3.203,0.281149722,11.39250636,281.1497223
1,Phyllospadix,Control,After,9.498,0.28,0.927449,361,3.61,0.291468955,12.38553861,291.4689554
2,Phyllospadix,Removal,After,6.88,0.28,0.940149,248.6,2.486,0.255762679,9.719948239,255.7626789
3,Phyllospadix,Removal,After,10.484,0.28,0.930624,615.2,6.152,0.777906977,7.908400598,777.9069767
4,Phyllospadix,Control,After,6.69,0.185,0.940149,122.9,1.229,0.099479109,12.35435276,99.47910859
5,Phyllospadix,Control,After,5.836,0.15,0.781399,153.3,1.533,0.089376551,17.15214985,89.37655125
6,Phyllospadix,Removal,After,3.48,0.13,0.905224,68.3,0.683,0.032320438,21.13213906,32.32043846
7,Phyllospadix,Removal,After,8.18,0.335,0.705199,308.3,3.083,0.216552997,14.23669979,216.5529966
8,Phyllospadix,Control,After,5.5,0.165,0.778224,88.6,0.886,0.063797987,13.88758552,63.79798697
9,Mytilus,Control,After,10.316,0.34,1.114313001,645.3,6.453,0.751685393,8.58470852,751.6853933
10,Mytilus,Removal,After,5.94,0.215,1.107963001,220.5,2.205,0.318639788,6.920039761,318.6397877
11,Mytilus,Removal,After,3.79,0.3,1.673113001,157.4,1.574,0.178274771,8.829067553,178.2747714
12,Mytilus,Control,After,7.63,0.225,1.333388001,255.2,2.552,0.231796657,11.00964974,231.7966566
13,Mytilus,Control,After,9.18,0.225,1.177813001,416,4.16,0.277221869,15.00603112,277.2218695
14,Mytilus,Control,After,3.9,0.17,0.904763001,58.3,0.583,0.043557393,13.38463944,43.55739299
15,Mytilus,Removal,After,4.17,0.175,0.879363001,150.4,1.504,0.108999648,13.79820971,108.9996479
16,Mytilus,Removal,After,15.57,0.295,1.771538001,754,7.54,0.868831169,8.678325859,868.8311688
17,Mytilus,Removal,After,4.26,0.23,1.086199,145.3,1.453,0.100739305,14.42336736,100.7393047
18,Phyllospadix,Control,After,12.94,0.405,1.615963001,503.8,5.038,0.361621622,13.93168909,361.6216216
19,Mytilus,Control,After,11.15,0.41,1.070324,543.95,5.4395,0.649514563,8.374715994,649.5145631
20,Phyllospadix,Control,After,11.66,0.41,1.006824,464.65,4.6465,0.355851064,13.057429,355.8510638
21,Phyllospadix,Removal,After,7.202,0.135,1.108424,273.5,2.735,0.091445844,29.90841216,91.44584424
22,Phyllospadix,Removal,After,10.37,0.14,1.140174,423.5,4.235,0.151046055,28.03780603,151.0460553
23,Mytilus,Removal,After,7.04,0.165,1.044463001,219.4,2.194,0.087360406,25.11435204,87.36040638
24,Mytilus,Removal,After,3.6,0.18,1.412763001,130.2,1.302,0.073466619,17.72233446,73.46661938
25,Mytilus,Control,After,3.85,0.28,1.029049,114.3,1.143,0.097645004,11.70566802,97.64500398
26,Phyllospadix,Removal,After,5.214,0.145,0.819038001,170.3,1.703,0.091445844,18.62304421,91.44584424
27,Phyllospadix,Control,After,4.912,0.26,0.841263001,116.4,1.164,0.163571381,7.116159254,163.5713815
28,Phyllospadix,Removal,After,7.05,0.175,0.765063001,240.6,2.406,0.211229638,11.39044702,211.2296379
29,Phyllospadix,Control,After,3.32,0.16,0.838342001,75,0.75,0.045667184,16.4231716,45.66718405
30,Mytilus,Control,After,5.19,0.135,1.209563001,158.5,1.585,0.164284686,9.647886498,164.2846856
31,Mytilus,Control,After,8.794,0.21,1.146063001,332.9,3.329,0.175943755,18.92081931,175.9437551
32,Mytilus,Removal,After,8.546,0.31,1.120663001,431,4.31,0.518665986,8.309779549,518.6659856
